name,services,price,ratings,reviews
Park Plaza Westminster Bridge London,"Pool, Restaurant","NGN 57,981",4.5 of 5 bubbles,"22,204 reviews"
InterContinental London - The O2,"Pool, Restaurant","NGN 83,930",4.5 of 5 bubbles,"6,141 reviews"
Amba Hotel Charing Cross,"Free Wifi, Restaurant","NGN 109,474",5 of 5 bubbles,"5,789 reviews"
Strand Palace,"Free Wifi, Restaurant","NGN 61,034",4 of 5 bubbles,"14,389 reviews"
Montcalm Royal London House - City of London,"Free Wifi, Pool","NGN 68,117",5 of 5 bubbles,"2,174 reviews"
The Tower Hotel,"Free Wifi, Restaurant","NGN 34,870",4 of 5 bubbles,"10,415 reviews"
"Point A Hotel, London Kings Cross St Pancras",Free Wifi,"NGN 25,544",4 of 5 bubbles,"6,780 reviews"
DoubleTree by Hilton Hotel London -Tower of London,"Free Wifi, Restaurant","NGN 46,628",4.5 of 5 bubbles,"7,230 reviews"
The Royal Horseguards,"Free Wifi, Restaurant","NGN 103,392",4.5 of 5 bubbles,"6,046 reviews"
citizenM Tower of London Hotel,"Free Wifi, Restaurant","NGN 52,304",4.5 of 5 bubbles,"3,752 reviews"
Best Western London Peckham Hotel,,"NGN 17,516",3.5 of 5 bubbles,"1,352 reviews"
"St. James' Court, A Taj Hotel","Free Wifi, Restaurant","NGN 77,848",4.5 of 5 bubbles,"5,022 reviews"
Qbic Hotel London City,"Free Wifi, Restaurant","NGN 27,847",4.5 of 5 bubbles,"4,866 reviews"
"Shangri-La Hotel, At The Shard, London","Free Wifi, Pool","NGN 184,383",4.5 of 5 bubbles,"3,370 reviews"
Park Plaza London Waterloo,"Free Wifi, Pool","NGN 58,386",4.5 of 5 bubbles,"3,600 reviews"
"The May Fair, A Radisson Collection Hotel","Free Wifi, Restaurant","NGN 123,706",4 of 5 bubbles,"5,850 reviews"
The Montague on The Gardens,"Free Wifi, Restaurant","NGN 81,741",5 of 5 bubbles,"5,094 reviews"
Georgian House Hotel,Free Internet,"NGN 57,170",4.5 of 5 bubbles,"1,065 reviews"
"Club Quarters Hotel, Trafalgar Square","Free Wifi, Restaurant","NGN 62,279",4 of 5 bubbles,"3,274 reviews"
Sea Containers London,"Free Wifi, Restaurant","NGN 88,553",4.5 of 5 bubbles,"4,952 reviews"
Park Grand London Kensington,"Free Wifi, Restaurant",,4.5 of 5 bubbles,"4,859 reviews"
The Chesterfield Mayfair,"Free Wifi, Restaurant",,5 of 5 bubbles,"4,426 reviews"
Park Grand Paddington Court,"Free Wifi, Restaurant",,4.5 of 5 bubbles,"2,897 reviews"
Good Hotel London,"Free Wifi, Restaurant",,4 of 5 bubbles,"1,780 reviews"
K+K Hotel George,"Free Wifi, Restaurant",,4.5 of 5 bubbles,"4,862 reviews"
Danubius Hotel Regents Park,"Free Wifi, Restaurant",,4 of 5 bubbles,"1,720 reviews"
Vintry & Mercer,"Free Wifi, Restaurant",,5 of 5 bubbles,411 reviews
Grand Royale London Hyde Park,"Free Wifi, Restaurant",,4 of 5 bubbles,"5,284 reviews"
The Landmark London,"Free Wifi, Pool",,5 of 5 bubbles,231 reviews
The Ritz London,"Free Wifi, Restaurant",,4.5 of 5 bubbles,"4,819 reviews"
